brand,title,type,price,sold,type_cleaned
Ralph Lauren,*Brand New 2024 Release* POLO 67 by Ralph Lauren - 2ML Travel Sample - Nice!!!,eau de parfum,12.99,5.0,Eau de Parfum
Paco Rabanne,Paco Rabanne PHANTOM 100ml / 3.4 oz EDP INTENSE Sealed Authentic Fast Finescents,eau de parfum,108.0,10.0,Eau de Parfum
FC,PERFUME Cologne for MEN Long Lasting Fragrance 100ML 3.4 Oz PARFUM Best Gift,perfume,14.7,119.0,Perfume
Valentino,Uomo Born In Roma Yellow Dream by Valentino 3.4 oz EDT Cologne Men New in Box,eau de toilette,78.99,27.0,Eau de Toilette
Pheromones,PHEROMONE SPRAY COLOGNE for MEN *ATTRACT WOMEN! 52X ***NEW***,eau de toilette,32.95,217.0,Eau de Toilette
Paco Rabanne,Paco Rabanne Pour Homme  men 1 oz EDT U/B,eau de toilette,18.99,38.0,Eau de Toilette
Cartier,DECLARATION by Cartier edt Cologne 3.3 oz / 3.4 oz New tester,eau de toilette,59.63,48.0,Eau de Toilette
HUGO BOSS,BOSS # 6 UNLIMITED by HUGO BOSS Cologne EDT Men 3.3 / 3.4 oz NO SIX NEW IN BOX,eau de toilette,44.93,2098.0,Eau de Toilette
Armaf,Club de Nuit Intense by Armaf cologne for men EDT 3.6 oz New in Box ☆,eau de toilette,30.31,17.0,Eau de Toilette
Abercrombie & Fitch,Abercrombie & Fitch Fierce Intense 1.7 oz EDC Spray New Discontinued,eau de cologne,49.99,381.0,Cologne
Dior,Sauvage Elixir By Dior 2.0oz,elixir,88.99,4.0,Eau de Parfum
Paco Rabanne,1 Million by Paco Rabanne Men’s Sample Kit 4/pc,various,20.0,2.0,Other
Assorted,6x Cologne Sampler Lot of Designer Fragrance Samples for Men - NEW,assorted,17.95,4.0,Other
Paco Rabanne,"Paco Rabanne Invictus EDT 3.4oz for Men - Sealed, Sporty Fragrance",eau de toilette,39.99,40.0,Eau de Toilette
HINODE,Brazilian Inebriante Eau de Parfum Male Perfume 100ml - Hinode Original,eau de parfum,99.0,177.0,Eau de Parfum
